from	entry	name	symbols	symbol	gene_id
A0A5F9ZHE7	A0A5F9ZHE7	A0A5F9ZHE7_HUMAN	BBS9	BBS9	27241
A0A140VK41	A0A140VK41	A0A140VK41_HUMAN	NA	NA	5634
J3QL01	J3QL01	J3QL01_HUMAN	RPL38	RPL38	6169
Q14222	Q14222	Q14222_HUMAN	EEF1A	EEF1A	NA
Q59ET3	Q59ET3	Q59ET3_HUMAN	NA	NA	NA
V9HW01	V9HW01	V9HW01_HUMAN	HEL-S-310	HEL-S-310	6152
V9HWI6	V9HWI6	V9HWI6_HUMAN	HEL-S-51 GC	HEL-S-51	NA
Q8WW76	Q8WW76	Q8WW76_HUMAN	FGA	FGA	2243
D3DPI2	D3DPI2	D3DPI2_HUMAN	hCG_1641229	hCG_1641229	NA
A0A5F9ZHN9	A0A5F9ZHN9	A0A5F9ZHN9_HUMAN	ALDH3A2	ALDH3A2	224
E7ETY2	E7ETY2	E7ETY2_HUMAN	TCOF1	TCOF1	6949
A0A384MTJ7	A0A384MTJ7	A0A384MTJ7_HUMAN	NA	NA	219
A0A0D9SGF6	A0A0D9SGF6	A0A0D9SGF6_HUMAN	SPTAN1	SPTAN1	6709
A0A140VJP5	A0A140VJP5	A0A140VJP5_HUMAN	NA	NA	4144
A8K651	A8K651	A8K651_HUMAN	NA	NA	NA
E9PB90	E9PB90	E9PB90_HUMAN	HK2	HK2	3099
E9PDI4	E9PDI4	E9PDI4_HUMAN	LAD1	LAD1	3898
A8K8N7	A8K8N7	A8K8N7_HUMAN	PFAS hCG_31283	PFAS	5198
Q5W009	Q5W009	Q5W009_HUMAN	RBM17 hCG_24832	RBM17	84991
A8K8U1	A8K8U1	A8K8U1_HUMAN	NA	NA	NA
A0A024QZB4	A0A024QZB4	A0A024QZB4_HUMAN	hCG_1993905	hCG_1993905	NA
A0A087WYB4	A0A087WYB4	A0A087WYB4_HUMAN	STOML2	STOML2	30968
A0A024RC65	A0A024RC65	A0A024RC65_HUMAN	hCG_1991735	hCG_1991735	8826
Q53HC3	Q53HC3	Q53HC3_HUMAN	NA	NA	NA
Q8N7Z9	Q8N7Z9	Q8N7Z9_HUMAN	NA	NA	NA
A0A3B3ITT5	A0A3B3ITT5	A0A3B3ITT5_HUMAN	RPL29	RPL29	6159
C9JAB2	C9JAB2	C9JAB2_HUMAN	SRSF7	SRSF7	6432
B3KXS5	B3KXS5	B3KXS5_HUMAN	LONP1	LONP1	9361
V9HWC2	V9HWC2	V9HWC2_HUMAN	HEL-S-67p	HEL-S-67p	11315
A0A669KBL1	A0A669KBL1	A0A669KBL1_HUMAN	USP7	USP7	7874
A0A384N6H1	P13639	EF2_HUMAN	EEF2 EF2	EEF2	1938
Q32Q62	Q32Q62	Q32Q62_HUMAN	RSL1D1	RSL1D1	26156
B4DJK9	B4DJK9	B4DJK9_HUMAN	NA	NA	NA
A0A2P9DU05	A0A2P9DU05	A0A2P9DU05_HUMAN	ROCK2	ROCK2	9475
A0A024RAD5	A0A024RAD5	A0A024RAD5_HUMAN	DDOST hCG_38871	DDOST	1650
B4DZF2	B4DZF2	B4DZF2_HUMAN	NA	NA	NA
Q5T760	Q5T760	Q5T760_HUMAN	SRSF11	SRSF11	9295
Q9NTH6	Q9NTH6	Q9NTH6_HUMAN	DKFZp434O2413	DKFZp434O2413	NA
A0A0S2Z472	A0A0S2Z472	A0A0S2Z472_HUMAN	PRKAR2A	PRKAR2A	5576
Q96DV6	Q96DV6	Q96DV6_HUMAN	RPS6	RPS6	6194
Q8NFH9	Q8NFH9	Q8NFH9_HUMAN	NA	NA	NA
B7Z592	B7Z592	B7Z592_HUMAN	NA	NA	NA
B3KW63	B3KW63	B3KW63_HUMAN	NA	NA	NA
A0A7P0T9R4	A0A7P0T9R4	A0A7P0T9R4_HUMAN	DYNC1H1	DYNC1H1	1778
A0A7N4I394	A0A7N4I394	A0A7N4I394_HUMAN	PRPF40A	PRPF40A	55660
A0A140VJS6	A0A140VJS6	A0A140VJS6_HUMAN	NA	NA	5690
B3KQ33	B3KQ33	B3KQ33_HUMAN	NA	NA	NA
A0A087WZT3	A0A087WZT3	A0A087WZT3_HUMAN	BOLA2-SMG1P6	BOLA2-SMG1P6	552900
B4DV79	B4DV79	B4DV79_HUMAN	EIF3B EIF3S9	EIF3B	8662
H3BP35	H3BP35	H3BP35_HUMAN	MVD	MVD	4597
J3QSB5	J3QSB5	J3QSB5_HUMAN	RPL36	RPL36	25873
A0A140VJF3	A0A140VJF3	A0A140VJF3_HUMAN	NA	NA	9184
H6VRF8	H6VRF8	H6VRF8_HUMAN	KRT1	KRT1	3848
Q7Z524	Q7Z524	Q7Z524_HUMAN	NA	NA	NA
I3L3D5	I3L3D5	I3L3D5_HUMAN	PFN1	PFN1	5216
W5ZR30	W5ZR30	W5ZR30_HUMAN	TCF20 hCG_41553	TCF20	6942
Q1ET62	Q1ET62	Q1ET62_HUMAN	ST1A5	ST1A5	NA
V9HWB4	V9HWB4	V9HWB4_HUMAN	HEL-S-89n	HEL-S-89n	3309
A0A024QYU9	A0A024QYU9	A0A024QYU9_HUMAN	EIF3S8 EIF3C hCG_201185	EIF3S8	8663
B4DQ49	B4DQ49	B4DQ49_HUMAN	NA	NA	NA
A0A669KBG8	A0A669KBG8	A0A669KBG8_HUMAN	GBF1	GBF1	8729
A0A024R1Q8	A0A024R1Q8	A0A024R1Q8_HUMAN	RPL23 hCG_2027400	RPL23	9349
Q53FV3	Q53FV3	Q53FV3_HUMAN	NA	NA	NA
A0A0U1RQF0	A0A0U1RQF0	A0A0U1RQF0_HUMAN	FASN	FASN	2194
A0A3R5W301	A0A3R5W301	A0A3R5W301_HUMAN	NA	NA	NA
Q6PJJ3	Q6PJJ3	Q6PJJ3_HUMAN	FASN	FASN	2194
Q59EG8	Q59EG8	Q59EG8_HUMAN	NA	NA	NA
B0YIW5	B0YIW5	B0YIW5_HUMAN	ARCN1 hCG_40220	ARCN1	372
Q9BR63	Q9BR63	Q9BR63_HUMAN	FARSB	FARSB	10056
A0A2U3TZV8	A0A2U3TZV8	A0A2U3TZV8_HUMAN	PLCH1	PLCH1	23007
A0A7P0TBE2	A0A7P0TBE2	A0A7P0TBE2_HUMAN	DLAT	DLAT	1737
J3KN16	J3KN16	J3KN16_HUMAN	ECPAS	ECPAS	23392
Q13841	Q13841	Q13841_HUMAN	NA	NA	NA
A8KA82	A8KA82	A8KA82_HUMAN	DNAJC3 hCG_28703	DNAJC3	5611
A0A024R2Q4	A0A024R2Q4	A0A024R2Q4_HUMAN	RPL15 hCG_1996483	RPL15	6138
A0A384ME17	A0A384ME17	A0A384ME17_HUMAN	TUFM hCG_1747191	TUFM	7284
V9HW35	V9HW35	V9HW35_HUMAN	HEL-S-55	HEL-S-55	NA
D3DRR6	D3DRR6	D3DRR6_HUMAN	ITIH2 hCG_25115	ITIH2	3698
Q6NZ55	Q6NZ55	Q6NZ55_HUMAN	RPL13	RPL13	6137
A0A140VK83	A0A140VK83	A0A140VK83_HUMAN	PPP1R7 hCG_33049	PPP1R7	5510
Q53G21	Q53G21	Q53G21_HUMAN	NA	NA	NA
V9HWH7	V9HWH7	V9HWH7_HUMAN	HEL-S-70p	HEL-S-70p	471
B4DNL3	B4DNL3	B4DNL3_HUMAN	NA	NA	NA
H0Y987	H0Y987	H0Y987_HUMAN	PGM3	PGM3	5238
Q7Z4G9	Q7Z4G9	Q7Z4G9_HUMAN	ASGR2 HBXBP	ASGR2	433
A8K132	A8K132	A8K132_HUMAN	NA	NA	NA
A8K5N5	A8K5N5	A8K5N5_HUMAN	NA	NA	NA
A0A024RC29	A0A024RC29	A0A024RC29_HUMAN	DSC3 hCG_2022649	DSC3	1825
A0A024RAJ8	A0A024RAJ8	A0A024RAJ8_HUMAN	IQGAP2 hCG_37485	IQGAP2	10788
Q9H2R7	Q9H2R7	Q9H2R7_HUMAN	NPD011	NPD011	NA
B3KU66	B3KU66	B3KU66_HUMAN	NA	NA	1660
A0A024RAJ9	A0A024RAJ9	A0A024RAJ9_HUMAN	ARSB hCG_37743	ARSB	411
A0A024RC87	A0A024RC87	A0A024RC87_HUMAN	RNH1 hCG_18617	RNH1	6050
Q5HYM2	Q5HYM2	Q5HYM2_HUMAN	DKFZp686O2462	DKFZp686O2462	NA
C9JA41	C9JA41	C9JA41_HUMAN	ELAPOR2	ELAPOR2	222223
Q53FR4	Q53FR4	Q53FR4_HUMAN	NA	NA	NA
